2019-03-06 10:36:09,476 com.enn.commodity.synergistic.controller.BusinessAreaController [http-nio-8081-exec-1] (BusinessAreaController.java:76) INFO  --> 接收前端或外围系统的json数据:{"ID":"","name":"","comments":""}
2019-03-06 10:36:09,581 com.enn.commodity.synergistic.controller.BusinessAreaController [http-nio-8081-exec-1] (BusinessAreaController.java:103) INFO  --> 返回给前端的数据:{"errno":0,"error":"success","data":{"businessAreaList":[{"ID":"area1","chaincodeDeployedName":"name1","chaincodeDeployedVersion":"v1.0.2","chaincodePackageName":"other name","chaincodePackageVersion":"v1.0.2","channelName":"other channel","comments":"some other comments","lastDeployedDateTime":"2019-02-26","name":"area-rename"},{"ID":"area2","chaincodeDeployedName":"name2","chaincodeDeployedVersion":"v1.0.1","chaincodePackageName":"name2","chaincodePackageVersion":"v1.0.1","channelName":"channel2","comments":"some comment","lastDeployedDateTime":"2019-02-27","name":"area2"}]}}
2019-03-06 10:42:20,890 com.enn.commodity.synergistic.controller.BusinessAreaController [http-nio-8081-exec-3] (BusinessAreaController.java:76) INFO  --> 接收前端或外围系统的json数据:{"ID":"area1"}
2019-03-06 10:42:20,895 com.enn.commodity.synergistic.controller.BusinessAreaController [http-nio-8081-exec-3] (BusinessAreaController.java:103) INFO  --> 返回给前端的数据:{"errno":0,"error":"success","data":{"businessAreaList":[{"ID":"area1","chaincodeDeployedName":"name1","chaincodeDeployedVersion":"v1.0.2","chaincodePackageName":"other name","chaincodePackageVersion":"v1.0.2","channelName":"other channel","comments":"some other comments","lastDeployedDateTime":"2019-02-26","name":"area-rename"}]}}
2019-03-06 10:43:36,043 com.enn.commodity.synergistic.controller.BusinessAreaController [http-nio-8081-exec-5] (BusinessAreaController.java:76) INFO  --> 接收前端或外围系统的json数据:{"ID":"area1"}
2019-03-06 10:43:36,045 com.enn.commodity.synergistic.controller.BusinessAreaController [http-nio-8081-exec-5] (BusinessAreaController.java:103) INFO  --> 返回给前端的数据:{"errno":0,"error":"success","data":{"businessAreaList":[{"ID":"area1","chaincodeDeployedName":"name1","chaincodeDeployedVersion":"v1.0.2","chaincodePackageName":"other name","chaincodePackageVersion":"v1.0.2","channelName":"other channel","comments":"some other comments","lastDeployedDateTime":"2019-02-26","name":"area-rename"}]}}
2019-03-06 11:06:48,633 com.enn.commodity.synergistic.controller.BusinessAreaController [http-nio-8081-exec-8] (BusinessAreaController.java:76) INFO  --> 接收前端或外围系统的json数据:{"ID":"area1"}
2019-03-06 11:06:48,670 com.enn.commodity.synergistic.controller.BusinessAreaController [http-nio-8081-exec-8] (BusinessAreaController.java:103) INFO  --> 返回给前端的数据:{"errno":0,"error":"success","data":{"businessAreaList":[{"ID":"area1","chaincodeDeployedName":"name1","chaincodeDeployedVersion":"v1.0.2","chaincodePackageName":"other name","chaincodePackageVersion":"v1.0.2","channelName":"other channel","comments":"some other comments","lastDeployedDateTime":"2019-02-26","name":"area-rename"}]}}
2019-03-06 11:06:58,515 com.enn.commodity.synergistic.controller.BusinessAreaController [http-nio-8081-exec-10] (BusinessAreaController.java:76) INFO  --> 接收前端或外围系统的json数据:{"ID":"area1"}
2019-03-06 11:06:58,518 com.enn.commodity.synergistic.controller.BusinessAreaController [http-nio-8081-exec-10] (BusinessAreaController.java:103) INFO  --> 返回给前端的数据:{"errno":0,"error":"success","data":{"businessAreaList":[{"ID":"area1","chaincodeDeployedName":"name1","chaincodeDeployedVersion":"v1.0.2","chaincodePackageName":"other name","chaincodePackageVersion":"v1.0.2","channelName":"other channel","comments":"some other comments","lastDeployedDateTime":"2019-02-26","name":"area-rename"}]}}
2019-03-06 11:07:41,402 com.enn.commodity.synergistic.controller.BusinessAreaController [http-nio-8081-exec-1] (BusinessAreaController.java:121) INFO  --> 接收前端或外围系统的json数据:{"ID":{"0":{},"length":1,"context":{"location":{"href":"http://127.0.0.1:8020/Xinao/UpdateBusinessArea.html","ancestorOrigins":{},"origin":"http://127.0.0.1:8020","protocol":"http:","host":"127.0.0.1:8020","hostname":"127.0.0.1","port":"8020","pathname":"/Xinao/UpdateBusinessArea.html","search":"","hash":""},"jQuery1102013175304432281099":1,"_html5shiv":1},"selector":"#ID"},"name":{"0":{},"length":1,"context":{"location":{"href":"http://127.0.0.1:8020/Xinao/UpdateBusinessArea.html","ancestorOrigins":{},"origin":"http://127.0.0.1:8020","protocol":"http:","host":"127.0.0.1:8020","hostname":"127.0.0.1","port":"8020","pathname":"/Xinao/UpdateBusinessArea.html","search":"","hash":""},"jQuery1102013175304432281099":1,"_html5shiv":1},"selector":"#name"},"comments":{"length":0,"prevObject":{"0":{"location":{"href":"http://127.0.0.1:8020/Xinao/UpdateBusinessArea.html","ancestorOrigins":{},"origin":"http://127.0.0.1:8020","protocol":"http:","host":"127.0.0.1:8020","hostname":"127.0.0.1","port":"8020","pathname":"/Xinao/UpdateBusinessArea.html","search":"","hash":""},"jQuery1102013175304432281099":1,"_html5shiv":1},"context":{"location":{"href":"http://127.0.0.1:8020/Xinao/UpdateBusinessArea.html","ancestorOrigins":{},"origin":"http://127.0.0.1:8020","protocol":"http:","host":"127.0.0.1:8020","hostname":"127.0.0.1","port":"8020","pathname":"/Xinao/UpdateBusinessArea.html","search":"","hash":""},"jQuery1102013175304432281099":1,"_html5shiv":1},"length":1},"context":{"location":{"href":"http://127.0.0.1:8020/Xinao/UpdateBusinessArea.html","ancestorOrigins":{},"origin":"http://127.0.0.1:8020","protocol":"http:","host":"127.0.0.1:8020","hostname":"127.0.0.1","port":"8020","pathname":"/Xinao/UpdateBusinessArea.html","search":"","hash":""},"jQuery1102013175304432281099":1,"_html5shiv":1},"selector":"comments"},"channelName":{"0":{},"length":1,"context":{"location":{"href":"http://127.0.0.1:8020/Xinao/UpdateBusinessArea.html","ancestorOrigins":{},"origin":"http://127.0.0.1:8020","protocol":"http:","host":"127.0.0.1:8020","hostname":"127.0.0.1","port":"8020","pathname":"/Xinao/UpdateBusinessArea.html","search":"","hash":""},"jQuery1102013175304432281099":1,"_html5shiv":1},"selector":"#channelName"},"chaincodePackageName":{"0":{},"length":1,"context":{"location":{"href":"http://127.0.0.1:8020/Xinao/UpdateBusinessArea.html","ancestorOrigins":{},"origin":"http://127.0.0.1:8020","protocol":"http:","host":"127.0.0.1:8020","hostname":"127.0.0.1","port":"8020","pathname":"/Xinao/UpdateBusinessArea.html","search":"","hash":""},"jQuery1102013175304432281099":1,"_html5shiv":1},"selector":"#chaincodePackageName"},"chaincodePackageVersion":{"0":{},"length":1,"context":{"location":{"href":"http://127.0.0.1:8020/Xinao/UpdateBusinessArea.html","ancestorOrigins":{},"origin":"http://127.0.0.1:8020","protocol":"http:","host":"127.0.0.1:8020","hostname":"127.0.0.1","port":"8020","pathname":"/Xinao/UpdateBusinessArea.html","search":"","hash":""},"jQuery1102013175304432281099":1,"_html5shiv":1},"selector":"#chaincodePackageVersion"},"chaincodeDeployedName":{"0":{},"length":1,"context":{"location":{"href":"http://127.0.0.1:8020/Xinao/UpdateBusinessArea.html","ancestorOrigins":{},"origin":"http://127.0.0.1:8020","protocol":"http:","host":"127.0.0.1:8020","hostname":"127.0.0.1","port":"8020","pathname":"/Xinao/UpdateBusinessArea.html","search":"","hash":""},"jQuery1102013175304432281099":1,"_html5shiv":1},"selector":"#chaincodeDeployedName"},"chaincodeDeployedVersion":{"0":{},"length":1,"context":{"location":{"href":"http://127.0.0.1:8020/Xinao/UpdateBusinessArea.html","ancestorOrigins":{},"origin":"http://127.0.0.1:8020","protocol":"http:","host":"127.0.0.1:8020","hostname":"127.0.0.1","port":"8020","pathname":"/Xinao/UpdateBusinessArea.html","search":"","hash":""},"jQuery1102013175304432281099":1,"_html5shiv":1},"selector":"#chaincodeDeployedVersion"}}
2019-03-06 11:07:41,447 org.springframework.web.servlet.mvc.method.annotation.ExceptionHandlerExceptionResolver [http-nio-8081-exec-1] (AbstractHandlerExceptionResolver.java:140) WARN  --> Resolved [net.sf.json.JSONException: java.lang.NoSuchMethodException: Unknown property '0']
2019-03-06 11:10:41,060 com.enn.commodity.synergistic.controller.BusinessAreaController [http-nio-8081-exec-3] (BusinessAreaController.java:76) INFO  --> 接收前端或外围系统的json数据:{"ID":"area1"}
2019-03-06 11:10:41,063 com.enn.commodity.synergistic.controller.BusinessAreaController [http-nio-8081-exec-3] (BusinessAreaController.java:103) INFO  --> 返回给前端的数据:{"errno":0,"error":"success","data":{"businessAreaList":[{"ID":"area1","chaincodeDeployedName":"name1","chaincodeDeployedVersion":"v1.0.2","chaincodePackageName":"other name","chaincodePackageVersion":"v1.0.2","channelName":"other channel","comments":"some other comments","lastDeployedDateTime":"2019-02-26","name":"area-rename"}]}}
2019-03-06 11:10:46,755 com.enn.commodity.synergistic.controller.BusinessAreaController [http-nio-8081-exec-4] (BusinessAreaController.java:121) INFO  --> 接收前端或外围系统的json数据:{"ID":"area1","name":"area-rename","channelName":"","chaincodePackageName":"other name111","chaincodePackageVersion":"v1.0.2","chaincodeDeployedName":"name1","chaincodeDeployedVersion":"v1.0.2"}
2019-03-06 11:12:00,325 com.enn.commodity.synergistic.controller.BusinessAreaController [http-nio-8081-exec-6] (BusinessAreaController.java:76) INFO  --> 接收前端或外围系统的json数据:{"ID":"area1"}
2019-03-06 11:12:00,327 com.enn.commodity.synergistic.controller.BusinessAreaController [http-nio-8081-exec-6] (BusinessAreaController.java:103) INFO  --> 返回给前端的数据:{"errno":0,"error":"success","data":{"businessAreaList":[{"ID":"area1","chaincodeDeployedName":"name1","chaincodeDeployedVersion":"v1.0.2","chaincodePackageName":"other name111","chaincodePackageVersion":"v1.0.2","channelName":"","comments":"some other comments","lastDeployedDateTime":"2019-02-26","name":"area-rename"}]}}
2019-03-06 11:12:05,256 com.enn.commodity.synergistic.controller.BusinessAreaController [http-nio-8081-exec-7] (BusinessAreaController.java:121) INFO  --> 接收前端或外围系统的json数据:{"ID":"area1","name":"area-rename","channelName":"","chaincodePackageName":"other name","chaincodePackageVersion":"v1.0.2","chaincodeDeployedName":"name1","chaincodeDeployedVersion":"v1.0.2"}
2019-03-06 11:12:35,458 com.enn.commodity.synergistic.controller.BusinessAreaController [http-nio-8081-exec-8] (BusinessAreaController.java:76) INFO  --> 接收前端或外围系统的json数据:{"ID":"area1"}
