2019-03-07 10:25:43,331 com.enn.commodity.synergistic.controller.BusinessAreaController [http-nio-8081-exec-7] (BusinessAreaController.java:76) INFO  --> 接收前端或外围系统的json数据:{"ID":"","name":"","comments":""}
2019-03-07 10:25:43,749 com.enn.commodity.synergistic.controller.BusinessAreaController [http-nio-8081-exec-7] (BusinessAreaController.java:103) INFO  --> 返回给前端的数据:{"errno":0,"error":"success","data":{"businessAreaList":[{"ID":"area1","chaincodeDeployedName":"name1","chaincodeDeployedVersion":"v1.0.2","chaincodePackageName":"other name","chaincodePackageVersion":"v1.0.2","channelName":"","comments":"some other comments","lastDeployedDateTime":"2019-02-26","name":"area-rename"},{"ID":"area2","chaincodeDeployedName":"name2","chaincodeDeployedVersion":"v1.0.1","chaincodePackageName":"name2","chaincodePackageVersion":"v1.0.1","channelName":"channel2","comments":"some comment","lastDeployedDateTime":"2019-02-27","name":"area2"}]}}
2019-03-07 10:34:42,094 com.enn.commodity.synergistic.controller.BusinessAreaController [http-nio-8081-exec-9] (BusinessAreaController.java:76) INFO  --> 接收前端或外围系统的json数据:{"ID":"","name":"","comments":""}
2019-03-07 10:34:42,099 com.enn.commodity.synergistic.controller.BusinessAreaController [http-nio-8081-exec-9] (BusinessAreaController.java:103) INFO  --> 返回给前端的数据:{"errno":0,"error":"success","data":{"businessAreaList":[{"ID":"area1","chaincodeDeployedName":"name1","chaincodeDeployedVersion":"v1.0.2","chaincodePackageName":"other name","chaincodePackageVersion":"v1.0.2","channelName":"","comments":"some other comments","lastDeployedDateTime":"2019-02-26","name":"area-rename"},{"ID":"area2","chaincodeDeployedName":"name2","chaincodeDeployedVersion":"v1.0.1","chaincodePackageName":"name2","chaincodePackageVersion":"v1.0.1","channelName":"channel2","comments":"some comment","lastDeployedDateTime":"2019-02-27","name":"area2"}]}}
2019-03-07 10:52:24,186 com.enn.commodity.synergistic.controller.BusinessAreaController [http-nio-8081-exec-3] (BusinessAreaController.java:76) INFO  --> 接收前端或外围系统的json数据:{"ID":"","name":"","comments":""}
2019-03-07 10:52:24,190 com.enn.commodity.synergistic.controller.BusinessAreaController [http-nio-8081-exec-3] (BusinessAreaController.java:103) INFO  --> 返回给前端的数据:{"errno":0,"error":"success","data":{"businessAreaList":[{"ID":"area1","chaincodeDeployedName":"name1","chaincodeDeployedVersion":"v1.0.2","chaincodePackageName":"other name","chaincodePackageVersion":"v1.0.2","channelName":"","comments":"some other comments","lastDeployedDateTime":"2019-02-26","name":"area-rename"},{"ID":"area2","chaincodeDeployedName":"name2","chaincodeDeployedVersion":"v1.0.1","chaincodePackageName":"name2","chaincodePackageVersion":"v1.0.1","channelName":"channel2","comments":"some comment","lastDeployedDateTime":"2019-02-27","name":"area2"}]}}
2019-03-07 10:53:28,599 com.enn.commodity.synergistic.controller.BusinessAreaController [http-nio-8081-exec-5] (BusinessAreaController.java:76) INFO  --> 接收前端或外围系统的json数据:{"ID":"","name":"","comments":""}
2019-03-07 10:53:28,601 com.enn.commodity.synergistic.controller.BusinessAreaController [http-nio-8081-exec-5] (BusinessAreaController.java:103) INFO  --> 返回给前端的数据:{"errno":0,"error":"success","data":{"businessAreaList":[{"ID":"area1","chaincodeDeployedName":"name1","chaincodeDeployedVersion":"v1.0.2","chaincodePackageName":"other name","chaincodePackageVersion":"v1.0.2","channelName":"","comments":"some other comments","lastDeployedDateTime":"2019-02-26","name":"area-rename"},{"ID":"area2","chaincodeDeployedName":"name2","chaincodeDeployedVersion":"v1.0.1","chaincodePackageName":"name2","chaincodePackageVersion":"v1.0.1","channelName":"channel2","comments":"some comment","lastDeployedDateTime":"2019-02-27","name":"area2"}]}}
2019-03-07 10:54:37,607 com.enn.commodity.synergistic.controller.BusinessAreaController [http-nio-8081-exec-7] (BusinessAreaController.java:76) INFO  --> 接收前端或外围系统的json数据:{"ID":"","name":"","comments":""}
2019-03-07 10:54:37,610 com.enn.commodity.synergistic.controller.BusinessAreaController [http-nio-8081-exec-7] (BusinessAreaController.java:103) INFO  --> 返回给前端的数据:{"errno":0,"error":"success","data":{"businessAreaList":[{"ID":"area1","chaincodeDeployedName":"name1","chaincodeDeployedVersion":"v1.0.2","chaincodePackageName":"other name","chaincodePackageVersion":"v1.0.2","channelName":"","comments":"some other comments","lastDeployedDateTime":"2019-02-26","name":"area-rename"},{"ID":"area2","chaincodeDeployedName":"name2","chaincodeDeployedVersion":"v1.0.1","chaincodePackageName":"name2","chaincodePackageVersion":"v1.0.1","channelName":"channel2","comments":"some comment","lastDeployedDateTime":"2019-02-27","name":"area2"}]}}
2019-03-07 11:09:20,524 com.enn.commodity.synergistic.controller.NodeOrgController [http-nio-8081-exec-9] (NodeOrgController.java:77) INFO  --> 接收前端或外围系统的json数据:{"ID":"","name":"","comments":""}
2019-03-07 15:45:51,825 com.enn.commodity.synergistic.controller.BusinessAreaController [http-nio-8081-exec-3] (BusinessAreaController.java:76) INFO  --> 接收前端或外围系统的json数据:{"ID":"","name":"","comments":""}
2019-03-07 15:45:51,852 com.enn.commodity.synergistic.controller.BusinessAreaController [http-nio-8081-exec-3] (BusinessAreaController.java:103) INFO  --> 返回给前端的数据:{"errno":0,"error":"success","data":{"businessAreaList":[{"ID":"area1","chaincodeDeployedName":"name1","chaincodeDeployedVersion":"v1.0.2","chaincodePackageName":"other name","chaincodePackageVersion":"v1.0.2","channelName":"","comments":"some other comments","lastDeployedDateTime":"2019-02-26","name":"area-rename"},{"ID":"area2","chaincodeDeployedName":"name2","chaincodeDeployedVersion":"v1.0.1","chaincodePackageName":"name2","chaincodePackageVersion":"v1.0.1","channelName":"channel2","comments":"some comment","lastDeployedDateTime":"2019-02-27","name":"area2"}]}}
2019-03-07 15:57:44,902 com.enn.commodity.synergistic.controller.BusinessAreaController [http-nio-8081-exec-6] (BusinessAreaController.java:76) INFO  --> 接收前端或外围系统的json数据:{"ID":"","name":"","comments":""}
